axis,series,x,y
0,experiment_1a_baseline_agents.count_10 (n=10),5,0.0
0,experiment_1a_baseline_agents.count_10 (n=10),10,0.0
0,experiment_1a_baseline_agents.count_10 (n=10),15,0.0
0,experiment_1a_baseline_agents.count_10 (n=10),20,9.0
0,experiment_1a_baseline_agents.count_10 (n=10),25,9.0
0,experiment_1a_baseline_agents.count_10 (n=10),30,9.0
0,experiment_1a_baseline_agents.count_10 (n=10),35,9.0
0,experiment_1a_baseline_agents.count_10 (n=10),40,21.33
0,experiment_1a_baseline_agents.count_10 (n=10),45,18.25
0,experiment_1a_baseline_agents.count_10 (n=10),50,18.25
0,experiment_1a_baseline_agents.count_10 (n=10),55,18.25
0,experiment_1a_baseline_agents.count_10 (n=10),60,24.4
0,experiment_1a_baseline_agents.count_10 (n=10),65,29.0
0,experiment_1a_baseline_agents.count_10 (n=10),70,29.0
0,experiment_1a_baseline_agents.count_10 (n=10),75,29.0
0,experiment_1a_baseline_agents.count_10 (n=10),80,29.0
0,experiment_1a_baseline_agents.count_10 (n=10),85,29.0
0,experiment_1a_baseline_agents.count_10 (n=10),90,29.0
0,experiment_1a_baseline_agents.count_10 (n=10),95,29.0
0,experiment_1a_baseline_agents.count_10 (n=10),100,29.0
0,experiment_1a_baseline_agents.count_10 (n=10),105,29.0
0,experiment_1a_baseline_agents.count_10 (n=10),110,27.0
0,experiment_1a_baseline_agents.count_10 (n=10),115,27.0
0,experiment_1a_baseline_agents.count_10 (n=10),120,27.36
0,experiment_1a_baseline_agents.count_10 (n=10),125,27.36
0,experiment_1a_baseline_agents.count_10 (n=10),130,32.0
0,experiment_1a_baseline_agents.count_10 (n=10),135,32.0
0,experiment_1a_baseline_agents.count_10 (n=10),140,32.0
0,experiment_1a_baseline_agents.count_10 (n=10),145,32.0
0,experiment_1a_baseline_agents.count_10 (n=10),150,32.0
0,experiment_1a_baseline_agents.count_10 (n=10),155,32.0
0,experiment_1a_baseline_agents.count_10 (n=10),160,32.0
0,experiment_1a_baseline_agents.count_10 (n=10),165,32.0
0,experiment_1a_baseline_agents.count_10 (n=10),170,30.93
0,experiment_1a_baseline_agents.count_10 (n=10),175,30.93
0,experiment_1a_baseline_agents.count_10 (n=10),180,31.0
0,experiment_1a_baseline_agents.count_10 (n=10),185,31.25
0,experiment_1a_baseline_agents.count_10 (n=10),190,30.41
0,experiment_1a_baseline_agents.count_10 (n=10),195,30.94
0,experiment_1a_baseline_agents.count_10 (n=10),200,30.11
0,experiment_1a_baseline_agents.count_10 (n=10),205,30.11
0,experiment_1a_baseline_agents.count_10 (n=10),210,31.1
0,experiment_1a_baseline_agents.count_10 (n=10),215,29.78
0,experiment_1a_baseline_agents.count_10 (n=10),220,29.33
0,experiment_1a_baseline_agents.count_10 (n=10),225,29.33
0,experiment_1a_baseline_agents.count_10 (n=10),230,30.12
0,experiment_1a_baseline_agents.count_10 (n=10),235,29.33
0,experiment_1a_baseline_agents.count_10 (n=10),240,29.03
0,experiment_1a_baseline_agents.count_10 (n=10),245,29.03
0,experiment_1a_baseline_agents.count_10 (n=10),250,28.67
0,experiment_1a_baseline_agents.count_10 (n=10),255,28.32
0,experiment_1a_baseline_agents.count_10 (n=10),260,28.12
0,experiment_1a_baseline_agents.count_10 (n=10),265,27.53
0,experiment_1a_baseline_agents.count_10 (n=10),270,27.06
0,experiment_1a_baseline_agents.count_10 (n=10),275,27.06
0,experiment_1a_baseline_agents.count_10 (n=10),280,26.13
0,experiment_1a_baseline_agents.count_10 (n=10),285,25.7
0,experiment_1a_baseline_agents.count_10 (n=10),290,25.54
0,experiment_1a_baseline_agents.count_10 (n=10),295,25.36
0,experiment_1a_baseline_agents.count_10 (n=10),300,25.18
0,experiment_1a_baseline_agents.count_10 (n=10),305,24.83
0,experiment_1a_baseline_agents.count_10 (n=10),310,24.56
0,experiment_1a_baseline_agents.count_10 (n=10),315,24.22
0,experiment_1a_baseline_agents.count_10 (n=10),320,23.71
0,experiment_1a_baseline_agents.count_10 (n=10),325,23.71
0,experiment_1a_baseline_agents.count_10 (n=10),330,23.62
0,experiment_1a_baseline_agents.count_10 (n=10),335,23.16
0,experiment_1a_baseline_agents.count_10 (n=10),340,22.83
0,experiment_1a_baseline_agents.count_10 (n=10),345,22.83
0,experiment_1a_baseline_agents.count_10 (n=10),350,22.68
0,experiment_1a_baseline_agents.count_10 (n=10),355,22.37
0,experiment_1a_baseline_agents.count_10 (n=10),360,22.11
0,experiment_1a_baseline_agents.count_10 (n=10),365,22.06
0,experiment_1a_baseline_agents.count_10 (n=10),370,22.0
0,experiment_1a_baseline_agents.count_10 (n=10),375,21.79
0,experiment_1a_baseline_agents.count_10 (n=10),380,21.6
0,experiment_1a_baseline_agents.count_10 (n=10),385,21.6
0,experiment_1a_baseline_agents.count_10 (n=10),390,21.6
0,experiment_1a_baseline_agents.count_10 (n=10),395,21.41
0,experiment_1a_baseline_agents.count_10 (n=10),400,21.23
0,experiment_1a_baseline_agents.count_10 (n=10),405,20.71
0,experiment_1a_baseline_agents.count_10 (n=10),410,20.71
0,experiment_1a_baseline_agents.count_10 (n=10),415,20.91
0,experiment_1a_baseline_agents.count_10 (n=10),420,21.23
0,experiment_1a_baseline_agents.count_10 (n=10),425,21.23
0,experiment_1a_baseline_agents.count_10 (n=10),430,21.23
0,experiment_1a_baseline_agents.count_10 (n=10),435,21.76
0,experiment_1a_baseline_agents.count_10 (n=10),440,21.76
0,experiment_1a_baseline_agents.count_10 (n=10),445,21.76
0,experiment_1a_baseline_agents.count_10 (n=10),450,21.76
0,experiment_1a_baseline_agents.count_10 (n=10),455,21.76
0,experiment_1a_baseline_agents.count_10 (n=10),460,21.76
0,experiment_1a_baseline_agents.count_10 (n=10),465,21.76
0,experiment_1a_baseline_agents.count_20 (n=20),5,0.0
0,experiment_1a_baseline_agents.count_20 (n=20),10,0.0
0,experiment_1a_baseline_agents.count_20 (n=20),15,0.0
0,experiment_1a_baseline_agents.count_20 (n=20),20,9.0
0,experiment_1a_baseline_agents.count_20 (n=20),25,9.0
0,experiment_1a_baseline_agents.count_20 (n=20),30,13.5
0,experiment_1a_baseline_agents.count_20 (n=20),35,13.5
0,experiment_1a_baseline_agents.count_20 (n=20),40,19.5
0,experiment_1a_baseline_agents.count_20 (n=20),45,22.25
0,experiment_1a_baseline_agents.count_20 (n=20),50,23.82
0,experiment_1a_baseline_agents.count_20 (n=20),55,23.25
0,experiment_1a_baseline_agents.count_20 (n=20),60,19.69
0,experiment_1a_baseline_agents.count_20 (n=20),65,21.05
0,experiment_1a_baseline_agents.count_20 (n=20),70,20.08
0,experiment_1a_baseline_agents.count_20 (n=20),75,20.56
0,experiment_1a_baseline_agents.count_20 (n=20),80,19.4
0,experiment_1a_baseline_agents.count_20 (n=20),85,18.81
0,experiment_1a_baseline_agents.count_20 (n=20),90,18.31
0,experiment_1a_baseline_agents.count_20 (n=20),95,18.21
0,experiment_1a_baseline_agents.count_20 (n=20),100,17.61
0,experiment_1a_baseline_agents.count_20 (n=20),105,16.92
0,experiment_1a_baseline_agents.count_20 (n=20),110,16.33
0,experiment_1a_baseline_agents.count_20 (n=20),115,16.09
0,experiment_1a_baseline_agents.count_20 (n=20),120,15.65
0,experiment_1a_baseline_agents.count_20 (n=20),125,15.65
0,experiment_1a_baseline_agents.count_20 (n=20),130,16.12
0,experiment_1a_baseline_agents.count_20 (n=20),135,16.12
0,experiment_1a_baseline_agents.count_20 (n=20),140,16.03
0,experiment_1a_baseline_agents.count_20 (n=20),145,17.0
0,experiment_1a_baseline_agents.count_20 (n=20),150,17.08
0,experiment_1a_baseline_agents.count_20 (n=20),155,17.27
0,experiment_1a_baseline_agents.count_20 (n=20),160,17.75
0,experiment_1a_baseline_agents.count_20 (n=20),165,18.2
0,experiment_1a_baseline_agents.count_20 (n=20),170,18.2
0,experiment_1a_baseline_agents.count_20 (n=20),175,18.2
0,experiment_1a_baseline_agents.count_20 (n=20),180,18.2
0,experiment_1a_baseline_agents.count_20 (n=20),185,18.2
0,experiment_1a_baseline_agents.count_30 (n=30),5,0.0
0,experiment_1a_baseline_agents.count_30 (n=30),10,0.0
0,experiment_1a_baseline_agents.count_30 (n=30),15,0.0
0,experiment_1a_baseline_agents.count_30 (n=30),20,8.5
0,experiment_1a_baseline_agents.count_30 (n=30),25,9.0
0,experiment_1a_baseline_agents.count_30 (n=30),30,10.6
0,experiment_1a_baseline_agents.count_30 (n=30),35,10.6
0,experiment_1a_baseline_agents.count_30 (n=30),40,16.67
0,experiment_1a_baseline_agents.count_30 (n=30),45,20.9
0,experiment_1a_baseline_agents.count_30 (n=30),50,19.0
0,experiment_1a_baseline_agents.count_30 (n=30),55,18.74
0,experiment_1a_baseline_agents.count_30 (n=30),60,17.83
0,experiment_1a_baseline_agents.count_30 (n=30),65,17.03
0,experiment_1a_baseline_agents.count_30 (n=30),70,17.79
0,experiment_1a_baseline_agents.count_30 (n=30),75,17.49
0,experiment_1a_baseline_agents.count_30 (n=30),80,17.37
0,experiment_1a_baseline_agents.count_30 (n=30),85,17.6
0,experiment_1a_baseline_agents.count_30 (n=30),90,17.12
0,experiment_1a_baseline_agents.count_30 (n=30),95,17.02
0,experiment_1a_baseline_agents.count_30 (n=30),100,16.82
0,experiment_1a_baseline_agents.count_30 (n=30),105,16.82
0,experiment_1a_baseline_agents.count_30 (n=30),110,17.02
0,experiment_1a_baseline_agents.count_30 (n=30),115,17.78
0,experiment_1a_baseline_agents.count_30 (n=30),120,18.26
0,experiment_1a_baseline_agents.count_30 (n=30),125,18.51
0,experiment_1a_baseline_agents.count_30 (n=30),130,18.39
0,experiment_1a_baseline_agents.count_30 (n=30),135,19.31
0,experiment_1a_baseline_agents.count_30 (n=30),140,20.07
0,experiment_1a_baseline_agents.count_30 (n=30),145,21.07
0,experiment_1a_baseline_agents.count_30 (n=30),150,21.36
0,experiment_1a_baseline_agents.count_30 (n=30),155,21.41
0,experiment_1a_baseline_agents.count_40 (n=40),5,0.0
0,experiment_1a_baseline_agents.count_40 (n=40),10,0.0
0,experiment_1a_baseline_agents.count_40 (n=40),15,0.0
0,experiment_1a_baseline_agents.count_40 (n=40),20,8.5
0,experiment_1a_baseline_agents.count_40 (n=40),25,8.67
0,experiment_1a_baseline_agents.count_40 (n=40),30,12.2
0,experiment_1a_baseline_agents.count_40 (n=40),35,12.2
0,experiment_1a_baseline_agents.count_40 (n=40),40,19.86
0,experiment_1a_baseline_agents.count_40 (n=40),45,21.9
0,experiment_1a_baseline_agents.count_40 (n=40),50,20.59
0,experiment_1a_baseline_agents.count_40 (n=40),55,22.2
0,experiment_1a_baseline_agents.count_40 (n=40),60,20.24
0,experiment_1a_baseline_agents.count_40 (n=40),65,19.63
0,experiment_1a_baseline_agents.count_40 (n=40),70,19.65
0,experiment_1a_baseline_agents.count_40 (n=40),75,19.07
0,experiment_1a_baseline_agents.count_40 (n=40),80,18.63
0,experiment_1a_baseline_agents.count_40 (n=40),85,18.26
0,experiment_1a_baseline_agents.count_40 (n=40),90,18.01
0,experiment_1a_baseline_agents.count_40 (n=40),95,18.18
0,experiment_1a_baseline_agents.count_40 (n=40),100,18.32
0,experiment_1a_baseline_agents.count_50 (n=50),5,0.0
0,experiment_1a_baseline_agents.count_50 (n=50),10,0.0
0,experiment_1a_baseline_agents.count_50 (n=50),15,0.0
0,experiment_1a_baseline_agents.count_50 (n=50),20,8.5
0,experiment_1a_baseline_agents.count_50 (n=50),25,9.4
0,experiment_1a_baseline_agents.count_50 (n=50),30,9.4
0,experiment_1a_baseline_agents.count_50 (n=50),35,10.67
0,experiment_1a_baseline_agents.count_50 (n=50),40,20.55
0,experiment_1a_baseline_agents.count_50 (n=50),45,22.59
0,experiment_1a_baseline_agents.count_50 (n=50),50,23.38
0,experiment_1a_baseline_agents.count_50 (n=50),55,23.21
0,experiment_1a_baseline_agents.count_50 (n=50),60,22.62
0,experiment_1a_baseline_agents.count_50 (n=50),65,21.44
0,experiment_1a_baseline_agents.count_50 (n=50),70,20.58
0,experiment_1a_baseline_agents.count_50 (n=50),75,20.09
0,experiment_1a_baseline_agents.count_50 (n=50),80,19.91
0,experiment_1a_baseline_agents.count_50 (n=50),85,19.25
0,experiment_1a_baseline_agents.count_60 (n=60),5,0.0
0,experiment_1a_baseline_agents.count_60 (n=60),10,0.0
0,experiment_1a_baseline_agents.count_60 (n=60),15,0.0
0,experiment_1a_baseline_agents.count_60 (n=60),20,8.5
0,experiment_1a_baseline_agents.count_60 (n=60),25,9.8
0,experiment_1a_baseline_agents.count_60 (n=60),30,10.57
0,experiment_1a_baseline_agents.count_60 (n=60),35,12.18
0,experiment_1a_baseline_agents.count_60 (n=60),40,18.5
0,experiment_1a_baseline_agents.count_60 (n=60),45,21.0
0,experiment_1a_baseline_agents.count_60 (n=60),50,22.25
0,experiment_1a_baseline_agents.count_60 (n=60),55,22.02
0,experiment_1a_baseline_agents.count_60 (n=60),60,21.37
0,experiment_1a_baseline_agents.count_60 (n=60),65,20.65
0,experiment_1a_baseline_agents.count_60 (n=60),70,20.28
0,experiment_1a_baseline_agents.count_60 (n=60),75,20.0
0,experiment_1a_baseline_agents.count_60 (n=60),80,19.62
0,experiment_1a_baseline_agents.count_60 (n=60),85,19.25
0,experiment_1a_baseline_agents.count_60 (n=60),90,19.25
0,experiment_1a_baseline_agents.count_60 (n=60),95,19.25
0,experiment_1a_baseline_agents.count_60 (n=60),100,19.25
0,experiment_1a_baseline_agents.count_70 (n=70),5,0.0
0,experiment_1a_baseline_agents.count_70 (n=70),10,0.0
0,experiment_1a_baseline_agents.count_70 (n=70),15,0.0
0,experiment_1a_baseline_agents.count_70 (n=70),20,8.75
0,experiment_1a_baseline_agents.count_70 (n=70),25,8.8
0,experiment_1a_baseline_agents.count_70 (n=70),30,8.8
0,experiment_1a_baseline_agents.count_70 (n=70),35,15.14
0,experiment_1a_baseline_agents.count_70 (n=70),40,20.26
0,experiment_1a_baseline_agents.count_70 (n=70),45,20.54
0,experiment_1a_baseline_agents.count_70 (n=70),50,21.55
0,experiment_1a_baseline_agents.count_70 (n=70),55,21.1
0,experiment_1a_baseline_agents.count_70 (n=70),60,20.06
0,experiment_1a_baseline_agents.count_70 (n=70),65,19.21
0,experiment_1a_baseline_agents.count_70 (n=70),70,19.25
0,experiment_1a_baseline_agents.count_70 (n=70),75,19.3
0,experiment_1a_baseline_agents.count_80 (n=80),5,0.0
0,experiment_1a_baseline_agents.count_80 (n=80),10,0.0
0,experiment_1a_baseline_agents.count_80 (n=80),15,0.0
0,experiment_1a_baseline_agents.count_80 (n=80),20,8.33
0,experiment_1a_baseline_agents.count_80 (n=80),25,10.17
0,experiment_1a_baseline_agents.count_80 (n=80),30,12.75
0,experiment_1a_baseline_agents.count_80 (n=80),35,14.41
0,experiment_1a_baseline_agents.count_80 (n=80),40,19.29
0,experiment_1a_baseline_agents.count_80 (n=80),45,21.23
0,experiment_1a_baseline_agents.count_80 (n=80),50,21.42
0,experiment_1a_baseline_agents.count_80 (n=80),55,20.85
0,experiment_1a_baseline_agents.count_80 (n=80),60,19.8
0,experiment_1a_baseline_agents.count_80 (n=80),65,19.79
0,experiment_1a_baseline_agents.count_80 (n=80),70,19.79
0,experiment_1a_baseline_agents.count_80 (n=80),75,19.64
0,experiment_1a_baseline_agents.count_80 (n=80),80,19.38
0,experiment_1a_baseline_agents.count_80 (n=80),85,19.38
0,experiment_1a_baseline_agents.count_80 (n=80),90,19.38
0,experiment_1a_baseline_agents.count_80 (n=80),95,19.38
0,experiment_1a_baseline_agents.count_80 (n=80),100,19.38
0,experiment_1a_baseline_agents.count_80 (n=80),105,19.38
0,experiment_1a_baseline_agents.count_80 (n=80),110,19.38
0,experiment_1a_baseline_agents.count_80 (n=80),115,19.38
0,experiment_1a_baseline_agents.count_80 (n=80),120,19.38
