axis,series,x,y
0,experiment_1a_baseline_agents.count_10 (n=10),5,0.0
0,experiment_1a_baseline_agents.count_10 (n=10),10,0.0
0,experiment_1a_baseline_agents.count_10 (n=10),15,0.0
0,experiment_1a_baseline_agents.count_10 (n=10),20,7.5
0,experiment_1a_baseline_agents.count_10 (n=10),25,7.5
0,experiment_1a_baseline_agents.count_10 (n=10),30,7.5
0,experiment_1a_baseline_agents.count_10 (n=10),35,11.2
0,experiment_1a_baseline_agents.count_10 (n=10),40,12.25
0,experiment_1a_baseline_agents.count_10 (n=10),45,12.25
0,experiment_1a_baseline_agents.count_10 (n=10),50,12.25
0,experiment_1a_baseline_agents.count_10 (n=10),55,12.71
0,experiment_1a_baseline_agents.count_10 (n=10),60,14.56
0,experiment_1a_baseline_agents.count_10 (n=10),65,15.35
0,experiment_1a_baseline_agents.count_10 (n=10),70,13.86
0,experiment_1a_baseline_agents.count_10 (n=10),75,12.62
0,experiment_1a_baseline_agents.count_10 (n=10),80,12.62
0,experiment_1a_baseline_agents.count_10 (n=10),85,11.97
0,experiment_1a_baseline_agents.count_10 (n=10),90,11.41
0,experiment_1a_baseline_agents.count_10 (n=10),95,11.22
0,experiment_1a_baseline_agents.count_10 (n=10),100,11.11
0,experiment_1a_baseline_agents.count_10 (n=10),105,10.78
0,experiment_1a_baseline_agents.count_10 (n=10),110,10.51
0,experiment_1a_baseline_agents.count_10 (n=10),115,10.4
0,experiment_1a_baseline_agents.count_10 (n=10),120,10.2
0,experiment_1a_baseline_agents.count_10 (n=10),125,10.0
0,experiment_1a_baseline_agents.count_10 (n=10),130,10.0
0,experiment_1a_baseline_agents.count_10 (n=10),135,9.86
0,experiment_1a_baseline_agents.count_10 (n=10),140,9.75
0,experiment_1a_baseline_agents.count_10 (n=10),145,9.63
0,experiment_1a_baseline_agents.count_10 (n=10),150,9.59
0,experiment_1a_baseline_agents.count_10 (n=10),155,9.42
0,experiment_1a_baseline_agents.count_10 (n=10),160,9.33
0,experiment_1a_baseline_agents.count_10 (n=10),165,9.3
0,experiment_1a_baseline_agents.count_10 (n=10),170,9.27
0,experiment_1a_baseline_agents.count_10 (n=10),175,9.21
0,experiment_1a_baseline_agents.count_10 (n=10),180,9.14
0,experiment_1a_baseline_agents.count_10 (n=10),185,9.11
0,experiment_1a_baseline_agents.count_10 (n=10),190,9.07
0,experiment_1a_baseline_agents.count_10 (n=10),195,9.0
0,experiment_1a_baseline_agents.count_10 (n=10),200,8.98
0,experiment_1a_baseline_agents.count_10 (n=10),205,8.95
0,experiment_1a_baseline_agents.count_10 (n=10),210,8.94
0,experiment_1a_baseline_agents.count_10 (n=10),215,8.88
0,experiment_1a_baseline_agents.count_10 (n=10),220,8.88
0,experiment_1a_baseline_agents.count_10 (n=10),225,8.86
0,experiment_1a_baseline_agents.count_10 (n=10),230,8.78
0,experiment_1a_baseline_agents.count_10 (n=10),235,8.76
0,experiment_1a_baseline_agents.count_10 (n=10),240,8.74
0,experiment_1a_baseline_agents.count_10 (n=10),245,8.69
0,experiment_1a_baseline_agents.count_10 (n=10),250,8.66
0,experiment_1a_baseline_agents.count_10 (n=10),255,8.66
0,experiment_1a_baseline_agents.count_10 (n=10),260,8.63
0,experiment_1a_baseline_agents.count_10 (n=10),265,8.58
0,experiment_1a_baseline_agents.count_10 (n=10),270,8.58
0,experiment_1a_baseline_agents.count_10 (n=10),275,8.55
0,experiment_1a_baseline_agents.count_10 (n=10),280,8.51
0,experiment_1a_baseline_agents.count_10 (n=10),285,8.52
0,experiment_1a_baseline_agents.count_10 (n=10),290,8.52
0,experiment_1a_baseline_agents.count_10 (n=10),295,8.47
0,experiment_1a_baseline_agents.count_10 (n=10),300,8.47
0,experiment_1a_baseline_agents.count_10 (n=10),305,8.46
0,experiment_1a_baseline_agents.count_10 (n=10),310,8.44
0,experiment_1a_baseline_agents.count_10 (n=10),315,8.41
0,experiment_1a_baseline_agents.count_10 (n=10),320,8.41
0,experiment_1a_baseline_agents.count_10 (n=10),325,8.4
0,experiment_1a_baseline_agents.count_10 (n=10),330,8.37
0,experiment_1a_baseline_agents.count_10 (n=10),335,8.37
0,experiment_1a_baseline_agents.count_10 (n=10),340,8.36
0,experiment_1a_baseline_agents.count_10 (n=10),345,8.35
0,experiment_1a_baseline_agents.count_10 (n=10),350,8.35
0,experiment_1a_baseline_agents.count_10 (n=10),355,8.33
0,experiment_1a_baseline_agents.count_10 (n=10),360,8.32
0,experiment_1a_baseline_agents.count_10 (n=10),365,8.31
0,experiment_1a_baseline_agents.count_10 (n=10),370,8.29
0,experiment_1a_baseline_agents.count_10 (n=10),375,8.28
0,experiment_1a_baseline_agents.count_10 (n=10),380,8.27
0,experiment_1a_baseline_agents.count_10 (n=10),385,8.26
0,experiment_1a_baseline_agents.count_10 (n=10),390,8.26
0,experiment_1a_baseline_agents.count_10 (n=10),395,8.24
0,experiment_1a_baseline_agents.count_10 (n=10),400,8.24
0,experiment_1a_baseline_agents.count_10 (n=10),405,8.23
0,experiment_1a_baseline_agents.count_10 (n=10),410,8.22
0,experiment_1a_baseline_agents.count_10 (n=10),415,8.22
0,experiment_1a_baseline_agents.count_10 (n=10),420,8.2
0,experiment_1a_baseline_agents.count_10 (n=10),425,8.19
0,experiment_1a_baseline_agents.count_10 (n=10),430,8.18
0,experiment_1a_baseline_agents.count_10 (n=10),435,8.18
0,experiment_1a_baseline_agents.count_10 (n=10),440,8.17
0,experiment_1a_baseline_agents.count_10 (n=10),445,8.16
0,experiment_1a_baseline_agents.count_10 (n=10),450,8.15
0,experiment_1a_baseline_agents.count_10 (n=10),455,8.15
0,experiment_1a_baseline_agents.count_10 (n=10),460,8.14
0,experiment_1a_baseline_agents.count_10 (n=10),465,8.14
0,experiment_1a_baseline_agents.count_10 (n=10),470,8.13
0,experiment_1a_baseline_agents.count_10 (n=10),475,8.12
0,experiment_1a_baseline_agents.count_10 (n=10),480,8.12
0,experiment_1a_baseline_agents.count_10 (n=10),485,8.1
0,experiment_1a_baseline_agents.count_10 (n=10),490,8.09
0,experiment_1a_baseline_agents.count_10 (n=10),495,8.09
0,experiment_1a_baseline_agents.count_10 (n=10),500,8.08
0,experiment_1a_baseline_agents.count_20 (n=20),5,0.0
0,experiment_1a_baseline_agents.count_20 (n=20),10,0.0
0,experiment_1a_baseline_agents.count_20 (n=20),15,0.0
0,experiment_1a_baseline_agents.count_20 (n=20),20,8.0
0,experiment_1a_baseline_agents.count_20 (n=20),25,8.0
0,experiment_1a_baseline_agents.count_20 (n=20),30,8.0
0,experiment_1a_baseline_agents.count_20 (n=20),35,9.3
0,experiment_1a_baseline_agents.count_20 (n=20),40,14.68
0,experiment_1a_baseline_agents.count_20 (n=20),45,14.58
0,experiment_1a_baseline_agents.count_20 (n=20),50,14.3
0,experiment_1a_baseline_agents.count_20 (n=20),55,12.28
0,experiment_1a_baseline_agents.count_20 (n=20),60,11.69
0,experiment_1a_baseline_agents.count_20 (n=20),65,11.53
0,experiment_1a_baseline_agents.count_20 (n=20),70,11.1
0,experiment_1a_baseline_agents.count_20 (n=20),75,10.67
0,experiment_1a_baseline_agents.count_20 (n=20),80,10.37
0,experiment_1a_baseline_agents.count_20 (n=20),85,10.18
0,experiment_1a_baseline_agents.count_20 (n=20),90,9.97
0,experiment_1a_baseline_agents.count_20 (n=20),95,9.75
0,experiment_1a_baseline_agents.count_20 (n=20),100,9.69
0,experiment_1a_baseline_agents.count_20 (n=20),105,9.57
0,experiment_1a_baseline_agents.count_20 (n=20),110,9.41
0,experiment_1a_baseline_agents.count_20 (n=20),115,9.36
0,experiment_1a_baseline_agents.count_20 (n=20),120,9.26
0,experiment_1a_baseline_agents.count_20 (n=20),125,9.16
0,experiment_1a_baseline_agents.count_20 (n=20),130,9.11
0,experiment_1a_baseline_agents.count_20 (n=20),135,9.05
0,experiment_1a_baseline_agents.count_20 (n=20),140,8.96
0,experiment_1a_baseline_agents.count_20 (n=20),145,8.96
0,experiment_1a_baseline_agents.count_20 (n=20),150,8.9
0,experiment_1a_baseline_agents.count_20 (n=20),155,8.82
0,experiment_1a_baseline_agents.count_20 (n=20),160,8.81
0,experiment_1a_baseline_agents.count_20 (n=20),165,8.76
0,experiment_1a_baseline_agents.count_20 (n=20),170,8.69
0,experiment_1a_baseline_agents.count_20 (n=20),175,8.68
0,experiment_1a_baseline_agents.count_20 (n=20),180,8.65
0,experiment_1a_baseline_agents.count_20 (n=20),185,8.61
0,experiment_1a_baseline_agents.count_20 (n=20),190,8.58
0,experiment_1a_baseline_agents.count_20 (n=20),195,8.57
0,experiment_1a_baseline_agents.count_20 (n=20),200,8.53
0,experiment_1a_baseline_agents.count_20 (n=20),205,8.49
0,experiment_1a_baseline_agents.count_20 (n=20),210,8.48
0,experiment_1a_baseline_agents.count_20 (n=20),215,8.45
0,experiment_1a_baseline_agents.count_20 (n=20),220,8.41
0,experiment_1a_baseline_agents.count_20 (n=20),225,8.42
0,experiment_1a_baseline_agents.count_20 (n=20),230,8.39
0,experiment_1a_baseline_agents.count_20 (n=20),235,8.36
0,experiment_1a_baseline_agents.count_20 (n=20),240,8.35
0,experiment_1a_baseline_agents.count_20 (n=20),245,8.34
0,experiment_1a_baseline_agents.count_20 (n=20),250,8.3
0,experiment_1a_baseline_agents.count_20 (n=20),255,8.3
0,experiment_1a_baseline_agents.count_20 (n=20),260,8.28
0,experiment_1a_baseline_agents.count_20 (n=20),265,8.26
0,experiment_1a_baseline_agents.count_20 (n=20),270,8.24
0,experiment_1a_baseline_agents.count_20 (n=20),275,8.23
0,experiment_1a_baseline_agents.count_20 (n=20),280,8.22
0,experiment_1a_baseline_agents.count_20 (n=20),285,8.2
0,experiment_1a_baseline_agents.count_20 (n=20),290,8.19
0,experiment_1a_baseline_agents.count_20 (n=20),295,8.18
0,experiment_1a_baseline_agents.count_20 (n=20),300,8.17
0,experiment_1a_baseline_agents.count_20 (n=20),305,8.17
0,experiment_1a_baseline_agents.count_20 (n=20),310,8.16
0,experiment_1a_baseline_agents.count_20 (n=20),315,8.13
0,experiment_1a_baseline_agents.count_20 (n=20),320,8.13
0,experiment_1a_baseline_agents.count_20 (n=20),325,8.12
0,experiment_1a_baseline_agents.count_20 (n=20),330,8.11
0,experiment_1a_baseline_agents.count_20 (n=20),335,8.1
0,experiment_1a_baseline_agents.count_20 (n=20),340,8.1
0,experiment_1a_baseline_agents.count_20 (n=20),345,8.09
0,experiment_1a_baseline_agents.count_20 (n=20),350,8.08
0,experiment_1a_baseline_agents.count_20 (n=20),355,8.08
0,experiment_1a_baseline_agents.count_20 (n=20),360,8.06
0,experiment_1a_baseline_agents.count_20 (n=20),365,8.05
0,experiment_1a_baseline_agents.count_20 (n=20),370,8.05
0,experiment_1a_baseline_agents.count_20 (n=20),375,8.04
0,experiment_1a_baseline_agents.count_20 (n=20),380,8.03
0,experiment_1a_baseline_agents.count_20 (n=20),385,8.03
0,experiment_1a_baseline_agents.count_20 (n=20),390,8.03
0,experiment_1a_baseline_agents.count_20 (n=20),395,8.02
0,experiment_1a_baseline_agents.count_20 (n=20),400,8.02
0,experiment_1a_baseline_agents.count_20 (n=20),405,8.01
0,experiment_1a_baseline_agents.count_20 (n=20),410,8.0
0,experiment_1a_baseline_agents.count_20 (n=20),415,8.0
0,experiment_1a_baseline_agents.count_20 (n=20),420,7.99
0,experiment_1a_baseline_agents.count_20 (n=20),425,7.99
0,experiment_1a_baseline_agents.count_20 (n=20),430,7.98
0,experiment_1a_baseline_agents.count_20 (n=20),435,7.98
0,experiment_1a_baseline_agents.count_20 (n=20),440,7.97
0,experiment_1a_baseline_agents.count_20 (n=20),445,7.97
0,experiment_1a_baseline_agents.count_20 (n=20),450,7.97
0,experiment_1a_baseline_agents.count_20 (n=20),455,7.96
0,experiment_1a_baseline_agents.count_20 (n=20),460,7.95
0,experiment_1a_baseline_agents.count_20 (n=20),465,7.95
0,experiment_1a_baseline_agents.count_20 (n=20),470,7.95
0,experiment_1a_baseline_agents.count_20 (n=20),475,7.94
0,experiment_1a_baseline_agents.count_20 (n=20),480,7.94
0,experiment_1a_baseline_agents.count_20 (n=20),485,7.94
0,experiment_1a_baseline_agents.count_20 (n=20),490,7.93
0,experiment_1a_baseline_agents.count_20 (n=20),495,7.93
0,experiment_1a_baseline_agents.count_20 (n=20),500,7.93
0,experiment_1a_baseline_agents.count_30 (n=30),5,0.0
0,experiment_1a_baseline_agents.count_30 (n=30),10,0.0
0,experiment_1a_baseline_agents.count_30 (n=30),15,0.0
0,experiment_1a_baseline_agents.count_30 (n=30),20,8.25
0,experiment_1a_baseline_agents.count_30 (n=30),25,8.25
0,experiment_1a_baseline_agents.count_30 (n=30),30,9.7
0,experiment_1a_baseline_agents.count_30 (n=30),35,9.45
0,experiment_1a_baseline_agents.count_30 (n=30),40,16.09
0,experiment_1a_baseline_agents.count_30 (n=30),45,15.39
0,experiment_1a_baseline_agents.count_30 (n=30),50,16.19
0,experiment_1a_baseline_agents.count_30 (n=30),55,16.17
0,experiment_1a_baseline_agents.count_30 (n=30),60,14.84
0,experiment_1a_baseline_agents.count_30 (n=30),65,13.84
0,experiment_1a_baseline_agents.count_30 (n=30),70,13.71
0,experiment_1a_baseline_agents.count_30 (n=30),75,13.43
0,experiment_1a_baseline_agents.count_30 (n=30),80,12.8
0,experiment_1a_baseline_agents.count_30 (n=30),85,12.57
0,experiment_1a_baseline_agents.count_30 (n=30),90,12.48
0,experiment_1a_baseline_agents.count_30 (n=30),95,12.17
0,experiment_1a_baseline_agents.count_30 (n=30),100,11.97
0,experiment_1a_baseline_agents.count_30 (n=30),105,11.83
0,experiment_1a_baseline_agents.count_30 (n=30),110,11.76
0,experiment_1a_baseline_agents.count_30 (n=30),115,11.56
0,experiment_1a_baseline_agents.count_30 (n=30),120,11.41
0,experiment_1a_baseline_agents.count_30 (n=30),125,11.35
0,experiment_1a_baseline_agents.count_30 (n=30),130,11.27
0,experiment_1a_baseline_agents.count_30 (n=30),135,11.16
0,experiment_1a_baseline_agents.count_30 (n=30),140,11.11
0,experiment_1a_baseline_agents.count_30 (n=30),145,11.04
0,experiment_1a_baseline_agents.count_30 (n=30),150,10.91
0,experiment_1a_baseline_agents.count_30 (n=30),155,10.87
0,experiment_1a_baseline_agents.count_30 (n=30),160,10.8
0,experiment_1a_baseline_agents.count_30 (n=30),165,10.75
0,experiment_1a_baseline_agents.count_30 (n=30),170,10.67
0,experiment_1a_baseline_agents.count_30 (n=30),175,10.62
0,experiment_1a_baseline_agents.count_30 (n=30),180,10.57
0,experiment_1a_baseline_agents.count_30 (n=30),185,10.51
0,experiment_1a_baseline_agents.count_30 (n=30),190,10.41
0,experiment_1a_baseline_agents.count_30 (n=30),195,10.4
0,experiment_1a_baseline_agents.count_30 (n=30),200,10.34
0,experiment_1a_baseline_agents.count_30 (n=30),205,10.29
0,experiment_1a_baseline_agents.count_30 (n=30),210,10.25
0,experiment_1a_baseline_agents.count_30 (n=30),215,10.23
0,experiment_1a_baseline_agents.count_30 (n=30),220,10.22
0,experiment_1a_baseline_agents.count_30 (n=30),225,10.15
0,experiment_1a_baseline_agents.count_30 (n=30),230,10.17
0,experiment_1a_baseline_agents.count_30 (n=30),235,10.15
0,experiment_1a_baseline_agents.count_30 (n=30),240,10.11
0,experiment_1a_baseline_agents.count_30 (n=30),245,10.07
0,experiment_1a_baseline_agents.count_30 (n=30),250,10.07
0,experiment_1a_baseline_agents.count_30 (n=30),255,10.03
0,experiment_1a_baseline_agents.count_30 (n=30),260,9.99
0,experiment_1a_baseline_agents.count_30 (n=30),265,9.98
0,experiment_1a_baseline_agents.count_30 (n=30),270,9.95
0,experiment_1a_baseline_agents.count_30 (n=30),275,9.91
0,experiment_1a_baseline_agents.count_30 (n=30),280,9.9
0,experiment_1a_baseline_agents.count_30 (n=30),285,9.91
