axis,series,x,y
0,experiment_1a_baseline_agents.count_10 (n=10),5,0
0,experiment_1a_baseline_agents.count_10 (n=10),10,0
0,experiment_1a_baseline_agents.count_10 (n=10),15,0
0,experiment_1a_baseline_agents.count_10 (n=10),20,2
0,experiment_1a_baseline_agents.count_10 (n=10),25,2
0,experiment_1a_baseline_agents.count_10 (n=10),30,2
0,experiment_1a_baseline_agents.count_10 (n=10),35,5
0,experiment_1a_baseline_agents.count_10 (n=10),40,8
0,experiment_1a_baseline_agents.count_10 (n=10),45,8
0,experiment_1a_baseline_agents.count_10 (n=10),50,8
0,experiment_1a_baseline_agents.count_10 (n=10),55,14
0,experiment_1a_baseline_agents.count_10 (n=10),60,16
0,experiment_1a_baseline_agents.count_10 (n=10),65,17
0,experiment_1a_baseline_agents.count_10 (n=10),70,21
0,experiment_1a_baseline_agents.count_10 (n=10),75,26
0,experiment_1a_baseline_agents.count_10 (n=10),80,26
0,experiment_1a_baseline_agents.count_10 (n=10),85,30
0,experiment_1a_baseline_agents.count_10 (n=10),90,34
0,experiment_1a_baseline_agents.count_10 (n=10),95,36
0,experiment_1a_baseline_agents.count_10 (n=10),100,37
0,experiment_1a_baseline_agents.count_10 (n=10),105,41
0,experiment_1a_baseline_agents.count_10 (n=10),110,45
0,experiment_1a_baseline_agents.count_10 (n=10),115,47
0,experiment_1a_baseline_agents.count_10 (n=10),120,51
0,experiment_1a_baseline_agents.count_10 (n=10),125,55
0,experiment_1a_baseline_agents.count_10 (n=10),130,55
0,experiment_1a_baseline_agents.count_10 (n=10),135,58
0,experiment_1a_baseline_agents.count_10 (n=10),140,61
0,experiment_1a_baseline_agents.count_10 (n=10),145,65
0,experiment_1a_baseline_agents.count_10 (n=10),150,66
0,experiment_1a_baseline_agents.count_10 (n=10),155,71
0,experiment_1a_baseline_agents.count_10 (n=10),160,75
0,experiment_1a_baseline_agents.count_10 (n=10),165,76
0,experiment_1a_baseline_agents.count_10 (n=10),170,78
0,experiment_1a_baseline_agents.count_10 (n=10),175,82
0,experiment_1a_baseline_agents.count_10 (n=10),180,86
0,experiment_1a_baseline_agents.count_10 (n=10),185,87
0,experiment_1a_baseline_agents.count_10 (n=10),190,90
0,experiment_1a_baseline_agents.count_10 (n=10),195,96
0,experiment_1a_baseline_agents.count_10 (n=10),200,97
0,experiment_1a_baseline_agents.count_10 (n=10),205,99
0,experiment_1a_baseline_agents.count_10 (n=10),210,102
0,experiment_1a_baseline_agents.count_10 (n=10),215,107
