axis,series,x,y
0,experiment_1a_baseline_agents.count_10 (n=10),5,0
0,experiment_1a_baseline_agents.count_10 (n=10),10,0
0,experiment_1a_baseline_agents.count_10 (n=10),15,0
0,experiment_1a_baseline_agents.count_10 (n=10),20,1
0,experiment_1a_baseline_agents.count_10 (n=10),25,1
0,experiment_1a_baseline_agents.count_10 (n=10),30,1
0,experiment_1a_baseline_agents.count_10 (n=10),35,1
0,experiment_1a_baseline_agents.count_10 (n=10),40,3
0,experiment_1a_baseline_agents.count_10 (n=10),45,4
0,experiment_1a_baseline_agents.count_10 (n=10),50,4
0,experiment_1a_baseline_agents.count_10 (n=10),55,4
0,experiment_1a_baseline_agents.count_10 (n=10),60,5
0,experiment_1a_baseline_agents.count_10 (n=10),65,6
0,experiment_1a_baseline_agents.count_10 (n=10),70,6
0,experiment_1a_baseline_agents.count_10 (n=10),75,6
0,experiment_1a_baseline_agents.count_10 (n=10),80,6
0,experiment_1a_baseline_agents.count_10 (n=10),85,6
0,experiment_1a_baseline_agents.count_10 (n=10),90,6
0,experiment_1a_baseline_agents.count_10 (n=10),95,7
0,experiment_1a_baseline_agents.count_10 (n=10),100,7
0,experiment_1a_baseline_agents.count_10 (n=10),105,9
0,experiment_1a_baseline_agents.count_10 (n=10),110,10
0,experiment_1a_baseline_agents.count_10 (n=10),115,10
0,experiment_1a_baseline_agents.count_10 (n=10),120,11
0,experiment_1a_baseline_agents.count_10 (n=10),125,11
0,experiment_1a_baseline_agents.count_10 (n=10),130,13
0,experiment_1a_baseline_agents.count_10 (n=10),135,13
0,experiment_1a_baseline_agents.count_10 (n=10),140,13
0,experiment_1a_baseline_agents.count_10 (n=10),145,13
0,experiment_1a_baseline_agents.count_10 (n=10),150,13
0,experiment_1a_baseline_agents.count_10 (n=10),155,13
0,experiment_1a_baseline_agents.count_10 (n=10),160,13
0,experiment_1a_baseline_agents.count_10 (n=10),165,13
0,experiment_1a_baseline_agents.count_10 (n=10),170,14
0,experiment_1a_baseline_agents.count_10 (n=10),175,14
0,experiment_1a_baseline_agents.count_10 (n=10),180,15
0,experiment_1a_baseline_agents.count_10 (n=10),185,16
0,experiment_1a_baseline_agents.count_10 (n=10),190,17
0,experiment_1a_baseline_agents.count_10 (n=10),195,18
0,experiment_1a_baseline_agents.count_10 (n=10),200,19
0,experiment_1a_baseline_agents.count_10 (n=10),205,19
0,experiment_1a_baseline_agents.count_10 (n=10),210,21
0,experiment_1a_baseline_agents.count_10 (n=10),215,23
